file.name,FilePath,ARU_ID,Date,JDate,year,Time,BinStarts,BinStarts_sec_past_midn,sunrise_sec_past_midn,songs_1,songs_2,songs_3,songs_4,songs_5,songs_6,others,listened,standardized_bs,two_min_sc
AB_01_1_2016-06-29_34600_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_034600.wav,AB_01_1,2016-06-29,181,2016,3:46:00,480,14040,16245,6,1,6,6,4,5,y,n,Feeding Young,28
AB_01_1_2016-06-29_35601_360.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_035601.wav,AB_01_1,2016-06-29,181,2016,3:56:01,360,14521,16245,7,6,6,5,7,6,y,n,Feeding Young,37
AB_01_1_2016-06-29_40600_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_040600.wav,AB_01_1,2016-06-29,181,2016,4:06:00,0,14760,16245,6,6,5,6,4,6,y,n,Feeding Young,33
AB_01_1_2016-06-29_40600_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_040600.wav,AB_01_1,2016-06-29,181,2016,4:06:00,120,14880,16245,5,0,0,0,0,0,y,n,Feeding Young,5
AB_01_1_2016-06-29_40600_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_040600.wav,AB_01_1,2016-06-29,181,2016,4:06:00,480,15240,16245,0,0,0,0,0,0,y,n,Feeding Young,0
AB_01_1_2016-06-29_41559_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_041559.wav,AB_01_1,2016-06-29,181,2016,4:15:59,0,15359,16245,0,0,0,1,0,0,n,n,Feeding Young,1
AB_01_1_2016-06-29_41559_120.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_041559.wav,AB_01_1,2016-06-29,181,2016,4:15:59,120,15479,16245,0,0,0,1,0,0,n,n,Feeding Young,1
AB_01_1_2016-06-29_41559_240.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_041559.wav,AB_01_1,2016-06-29,181,2016,4:15:59,240,15599,16245,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-29_41559_480.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_041559.wav,AB_01_1,2016-06-29,181,2016,4:15:59,480,15839,16245,0,0,0,0,0,0,n,n,Feeding Young,0
AB_01_1_2016-06-29_42558_0.jpeg,X:/OSFL/2016/01/OSFL-AB-01/OSFL-AB-01-1/OSFL-AB-01-1_20160629_042558.wav,AB_01_1,2016-06-29,181,2016,4:25:58,0,15958,16245,0,0,0,0,0,0,n,n,Feeding Young,0
